vix,sp500,sp500_volume,djia,djia_volume,hsi,ads,us3m,joblessness,epu,GPRD,prev_day,sp500_7d_ma,sp500_30d_ma,sp500_volatility,prev_day_price
24.34,338.190002,19.0006032393971,2666.38,22.75,2771.699951,-0.235623,8.04,3,100.3591782,65.59539795,337.399994,341.3014265714286,336.74466659999996,4.724836871863756,337.399994
22.5,339.149994,19.039050502942708,2677.9,23.36,2776.300049,-0.217234,8.0,3,100.3591782,96.36560822,338.190002,340.1357117142857,336.74466659999996,3.9361147170433743,338.190002
26.7,330.380005,18.815287115465107,2600.45,20.06,2771.699951,-0.150139,7.99,3,100.3591782,69.12260437,339.149994,337.5428554285714,336.74466659999996,3.4304378444019408,339.149994
24.72,331.609985,19.004570944152608,2615.32,22.52,2762.5,-0.125918,7.93,3,100.3591782,121.3052979,330.380005,336.3542828571429,336.74466659999996,3.877692940831662,330.380005
25.39,330.26001,19.152231000606882,2604.5,28.07,2756.399902,-0.101022,7.93,3,100.3591782,72.01234436,331.609985,335.39142714285714,336.74466659999996,4.480561505050696,331.609985
25.63,326.079987,18.964573577227394,2561.04,22.16,2768.899902,-0.07544,7.95,3,100.3591782,88.19403076,330.26001,333.29571100000004,336.74466659999996,4.961468529443184,330.26001
26.28,325.799988,19.104736729546193,2559.23,25.73,2768.899902,-0.0491631,7.93,3,100.3591782,77.41548157,326.079987,331.63856728571426,336.74466659999996,5.288586249840211,326.079987
26.44,325.200012,18.83126606138772,2553.38,16.54,2768.899902,0.0363421,8.0,3,100.3591782,117.3084717,325.799988,329.7828544285714,336.74466659999996,4.868998408750463,325.799988
27.25,322.980011,19.041418514369646,2543.24,24.91,2760.800049,0.0703036,8.0,3,100.3591782,83.9249649,325.200012,327.47285685714286,336.74466659999996,3.251297856997006,325.200012
25.36,329.079987,19.060743558692447,2590.54,22.51,2751.600098,0.107416,8.0,3,100.3591782,128.3204193,322.980011,327.28713999999997,336.74466659999996,3.090726674097135,322.980011
24.87,328.790009,18.856222326112142,2586.26,19.8,2738.199951,0.147694,8.02,3,89.59095399,77.20746613,329.079987,326.88428628571427,336.74466659999996,2.5739443394394024,329.079987
24.32,330.920013,18.917813046669078,2602.7,18.7,2736.600098,0.187236,8.07,3,89.59095399,104.9047012,328.790009,326.97857242857145,336.74466659999996,2.725817527374644,328.790009
24.54,331.850006,18.690326136554496,2622.52,13.65,2756.600098,0.300568,8.08,3,89.59095399,115.4204788,330.920013,327.8028608571429,336.74466659999996,3.2338763254367136,330.920013
24.69,329.660004,18.713872617036532,2606.31,16.21,2792.0,0.335252,8.09,3,89.59095399,149.4391479,331.850006,328.35429171428575,336.74466659999996,3.163771103420649,331.850006
24.29,333.75,19.04506717429742,2640.09,20.75,2844.800049,0.36824,8.08,3,89.59095399,93.49989319,329.660004,329.5757185714286,336.74466659999996,3.3856975644161236,329.660004
23.77,332.959991,18.98735726613244,2644.37,20.62,2903.800049,0.399546,8.08,3,89.59095399,76.86621094,333.75,331.00142999999997,336.74466659999996,1.9364511331399343,333.75
23.69,333.619995,18.8053307191535,2648.2,15.59,2893.899902,0.429182,8.02,3,89.59095399,69.69510651,332.959991,331.65000257142856,336.74466659999996,1.9459133562564375,332.959991
24.38,330.079987,18.58949482583448,2619.14,12.42,2894.699951,0.507383,7.99,3,89.59095399,110.7705765,333.619995,331.83428514285714,336.74466659999996,1.6716826823758615,333.619995
23.76,331.019989,18.78872086589069,2624.1,18.92,2863.600098,0.528852,7.84,3,89.59095399,82.29981995,330.079987,331.84856742857147,336.74466659999996,1.662973978279221,330.079987
22.05,332.01001,18.746597473852713,2624.32,14.73,2870.399902,0.547903,7.87,3,89.59095399,63.87871933,331.019989,331.87142514285716,335.8529999333333,1.6640963024650974,331.019989
19.71,334.890015,18.978122748073655,2649.55,18.18,2910.0,0.564544,7.97,3,89.59095399,69.23958588,332.01001,332.61856957142857,335.1603333333333,1.6797433681875773,332.01001
20.78,332.720001,18.932545833286785,2635.59,23.13,2939.300049,0.578782,7.94,3,89.59095399,48.95420456,334.890015,332.4714268571429,334.5109996333333,1.6076806984625414,334.890015
22.78,327.98999,18.807981888221725,2596.85,17.46,2980.0,0.614622,8.06,3,89.59095399,59.15299606,332.720001,331.76142671428573,333.650999,2.303030732611815,332.720001
23.89,327.670013,18.885923062376218,2583.56,20.68,2862.300049,0.619732,8.01,3,89.59095399,62.67019653,327.98999,330.9114292857143,332.91933293333335,2.583654518986096,327.98999
22.54,325.700012,19.03218394089715,2574.77,21.2,2927.899902,0.623401,7.99,3,89.59095399,57.79834366,327.670013,330.2857185714286,332.19900006666666,3.2603323094031436,327.670013
23.69,324.149994,18.816028180606704,2564.19,19.6,2894.300049,0.625631,7.93,3,89.59095399,41.51087189,325.700012,329.30429071428574,331.3863332333333,3.9611479625893504,325.700012
23.56,328.670013,18.818785504370155,2602.48,17.8,2872.600098,0.623647,7.97,3,89.59095399,65.2722702,324.149994,328.8271482857143,331.01100056666667,3.7778277747692206,324.149994
22.69,330.26001,18.843265150421427,2617.12,21.7,2932.600098,0.620035,7.99,3,89.59095399,127.2182541,328.670013,328.165719,330.7863342333333,2.8244236926015986,328.670013
21.99,331.890015,19.03261787450976,2627.25,22.99,2952.0,0.614939,8.04,3,89.59095399,80.14276123,330.26001,328.0471495714286,330.49100139999996,2.6107055357484343,330.26001
21.9,332.73999,18.877662461178158,2635.59,23.22,2933.100098,0.608356,8.08,3,86.06528908,57.67255783,331.890015,328.72572099999996,330.33566793333335,3.154123495575262,331.890015
21.34,335.540009,18.91738716524279,2660.36,20.1,2937.0,0.600823,8.02,3,86.06528908,84.64168549,332.73999,329.8500061428571,330.2473348333333,4.003391315301204,332.73999
22.03,333.73999,18.757938393484665,2649.55,19.79,2938.0,0.572341,8.09,3,86.06528908,74.2015152,335.540009,330.99857442857143,330.06700136666666,3.7602728494755437,335.540009
20.55,337.929993,18.782820734284005,2676.8,22.33,2933.0,0.560684,8.17,3,86.06528908,67.9733429,333.73999,332.9671457142857,330.31866763333335,3.1318926810098664,333.73999
19.1,336.950012,18.912812731384317,2669.59,22.54,2926.0,0.547914,8.18,3,86.06528908,77.88887024,337.929993,334.15000271428573,330.4966685333333,2.782574650113657,337.929993
19.74,340.269989,18.956589153937195,2696.17,21.85,2915.0,0.534026,8.18,3,86.06528908,67.02746582,336.950012,335.5799997142857,330.83033450000005,3.012869036339581,336.950012
20.3,337.929993,18.82887546327989,2683.33,21.7,2912.0,0.519015,8.26,3,86.06528908,59.95597839,340.269989,336.4428537142857,331.2253347,2.6191328417000395,340.269989
20.07,338.670013,18.55861493875324,2686.71,16.96,2892.0,0.467255,8.26,3,86.06528908,50.34297562,337.929993,337.28999985714285,331.6543355333333,2.136374800945708,337.929993
21.05,336.0,18.79527419526913,2674.55,20.12,2887.0,0.447836,8.26,3,86.06528908,72.11685944,338.670013,337.35571285714286,332.01433513333336,2.079903362476923,338.670013
19.65,336.869995,18.79265801479324,2687.84,16.84,2881.0,0.427333,8.23,3,86.06528908,90.26069641,336.0,337.80285642857143,332.4773346,1.3975512170846702,336.0
18.81,338.070007,18.788167041027474,2695.72,16.67,2892.0,0.40574,8.21,3,86.06528908,59.09092712,336.869995,337.82285842857146,332.77700193333334,1.4006725519216956,336.869995
17.62,341.910004,19.220527547665345,2741.22,36.31,2886.0,0.383047,8.19,3,86.06528908,71.66613007,338.070007,338.5314287142857,333.2143351,2.0083034578070365,338.070007
18.29,343.529999,18.773448070087486,2755.63,17.44,2871.0,0.307439,8.22,3,86.06528908,62.39425659,341.910004,338.99714442857146,333.6346679666667,2.7277760117072165,341.910004
19.06,341.570007,18.99346657348065,2738.74,22.4,2880.0,0.278574,8.25,3,86.06528908,79.22434235,343.529999,339.51714642857144,333.95866800000005,2.8352709129875504,343.529999
20.1,339.73999,18.690631550008003,2727.93,14.8,2926.0,0.247721,8.23,3,86.06528908,67.78787994,341.570007,339.6700002857143,334.2946675333334,2.8107247286129806,341.570007
22.74,335.690002,18.98559675229931,2695.72,21.71,2948.0,0.214866,8.17,3,86.06528908,75.7776947,339.73999,339.6257148571429,334.3593342666667,2.8797799934219133,339.73999
20.46,337.220001,18.69884265059173,2704.28,19.01,2974.0,0.179996,8.15,3,86.06528908,35.57649994,335.690002,339.67571571428573,334.50133459999995,2.8265044222641005,335.690002
19.59,337.630005,18.570048584215712,2707.66,12.84,3014.0,0.0646082,8.13,2,86.06528908,76.90870667,337.220001,339.61285828571425,334.6350016,2.872679874019936,337.220001
21.01,341.5,18.695353569408713,2736.94,14.32,3010.0,0.0244319,8.17,2,86.06528908,75.17173004,337.630005,339.5542862857143,335.0156687,2.8217650686063864,337.630005
19.77,342.0,18.773448070087486,2743.69,16.71,2990.0,-0.0163862,8.12,2,86.06528908,89.02232361,341.5,339.33571500000005,335.3816690666667,2.503829026097967,341.5
18.46,340.790009,18.699750847120452,2727.7,15.08,3000.0,-0.0578621,8.1,2,86.06528908,82.45568848,342.0,339.22428671428577,335.6743357,2.4031560917799935,342.0
19.73,339.940002,18.752427554742937,2707.21,15.4,2997.0,-0.100012,8.07,2,86.06528908,73.18463898,340.790009,339.2528598571429,335.8426686,2.411484284578525,340.790009
22.84,338.700012,18.638691151196,2700.45,16.05,2934.0,-0.226766,8.05,3,76.66170022,132.0625,339.940002,339.6828612857143,336.0420023,1.880111467065342,339.940002
20.44,343.640015,18.854474130527848,2736.71,18.04,2962.0,-0.26396,8.09,3,76.66170022,100.7973557,338.700012,340.6000061428571,336.5636698,2.0377363535794193,338.700012
22.03,341.089996,18.887742556545593,2719.37,21.25,2960.0,-0.297999,8.01,3,76.66170022,86.15261078,343.640015,341.0942905714286,337.0110025666666,1.5611523669727276,343.640015
21.21,340.730011,18.78650372372434,2721.17,13.64,2960.0,-0.328897,8.02,3,76.66170022,65.83555603,341.089996,340.98429214285716,337.5120025333333,1.5549159764618874,341.089996
21.76,340.079987,18.73906175242667,2717.12,12.19,2956.0,-0.356666,8.02,3,76.66170022,92.57479858,340.730011,340.7100045714286,338.0430023,1.5147085418540478,340.730011
22.3,341.369995,18.560181791427844,2722.07,10.49,2954.0,-0.422704,8.09,3,76.66170022,92.55703735,340.079987,340.7928597142857,338.4663350333333,1.53553376359945,340.079987
